     0      1      2      3      4      5      6      7      8      9     -1     -1     -1     -1     -1     -1 
     0      2      3      4      5      5      7      7      9     -1     -1     -1     -1     -1     -1     -1 
     0      3      4      5      5      7      6      7     -1     -1     -1     -1     -1     -1     -1     -1 
     3      4      5      5      7      6      7     -1     -1     -1     -1     -1     -1     -1     -1     -1 
     4      5      5      7      6      7     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
     5      5      7      6      7     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
     0      7      6      7     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
     7      6      7     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
     6      7     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
     7     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
    -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
    -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
    -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
    -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
    -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
    -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1     -1 
